row_number,date,facebook_ad_campaign,facebook_ad_views,facebook_ad_clicks,facebook_ad_conversions,facebook_cost_per_ad,facebook_ctr,facebook_conversion_rate,facebook_cost_per_click,adword_ad_campaign,adword_ad_views,adword_ad_clicks,adword_ad_conversions,adword_cost_per_ad,adword_ctr,adword_conversion_rate,adword_cost_per_click
1,2024-11-24,FACEBOOK AD,3081,70,8,94,2.2719896138,11.4285714286,1.3428571429,ADWORD AD,3931,58,9,112,1.475451539,15.5172413793,1.9310344828
2,2023-07-27,FACEBOOK AD,1135,51,13,207,4.4933920705,25.4901960784,4.0588235294,ADWORD AD,5093,57,8,101,1.1191831926,14.0350877193,1.7719298246
3,2022-08-09,FACEBOOK AD,3191,58,17,185,1.8176120338,29.3103448276,3.1896551724,ADWORD AD,5125,69,8,50,1.3463414634,11.5942028986,0.7246376812
4,2023-09-16,FACEBOOK AD,1177,71,19,68,6.0322854715,26.7605633803,0.9577464789,ADWORD AD,4892,54,5,137,1.103843009,9.2592592593,2.537037037
5,2022-05-07,FACEBOOK AD,2228,28,16,65,1.2567324955,57.1428571429,2.3214285714,ADWORD AD,5750,45,9,82,0.7826086957,20,1.8222222222
6,2024-01-20,FACEBOOK AD,2324,58,15,61,2.495697074,25.8620689655,1.0517241379,ADWORD AD,3777,77,3,72,2.0386550172,3.8961038961,0.9350649351
7,2022-06-09,FACEBOOK AD,1718,48,14,213,2.7939464494,29.1666666667,4.4375,ADWORD AD,4021,48,4,124,1.1937329023,8.3333333333,2.5833333333
8,2022-10-16,FACEBOOK AD,2503,15,17,162,0.599280863,113.3333333333,10.8,ADWORD AD,5610,56,4,50,0.9982174688,7.1428571429,0.8928571429
9,2022-09-02,FACEBOOK AD,1270,59,6,125,4.6456692913,10.1694915254,2.1186440678,ADWORD AD,4099,32,4,89,0.7806782142,12.5,2.78125
10,2024-04-09,FACEBOOK AD,1241,47,10,229,3.787268332,21.2765957447,4.8723404255,ADWORD AD,4828,79,9,114,1.6362883181,11.3924050633,1.4430379747
11,2023-08-02,FACEBOOK AD,2657,52,14,181,1.9570944674,26.9230769231,3.4807692308,ADWORD AD,5692,32,9,191,0.5621925509,28.125,5.96875
12,2022-06-05,FACEBOOK AD,1801,49,7,60,2.7207107163,14.2857142857,1.2244897959,ADWORD AD,5281,57,5,152,1.0793410339,8.7719298246,2.6666666667
13,2023-01-11,FACEBOOK AD,3272,42,13,226,1.2836185819,30.9523809524,5.380952381,ADWORD AD,4734,33,4,123,0.6970849176,12.1212121212,3.7272727273
14,2023-04-10,FACEBOOK AD,1806,45,12,177,2.4916943522,26.6666666667,3.9333333333,ADWORD AD,4546,83,3,106,1.8257809063,3.6144578313,1.2771084337
15,2022-07-30,FACEBOOK AD,1537,66,7,142,4.2940793754,10.6060606061,2.1515151515,ADWORD AD,5463,78,7,105,1.4277869303,8.9743589744,1.3461538462
16,2024-03-11,FACEBOOK AD,3083,32,8,139,1.0379500487,25,4.34375,ADWORD AD,3720,35,4,178,0.9408602151,11.4285714286,5.0857142857
17,2024-10-16,FACEBOOK AD,1396,29,18,220,2.0773638968,62.0689655172,7.5862068966,ADWORD AD,5225,86,3,57,1.6459330144,3.488372093,0.6627906977
18,2024-07-21,FACEBOOK AD,1371,39,14,92,2.8446389497,35.8974358974,2.358974359,ADWORD AD,4153,57,5,167,1.3725018059,8.7719298246,2.9298245614
19,2022-01-10,FACEBOOK AD,2257,56,8,153,2.4811696943,14.2857142857,2.7321428571,ADWORD AD,4005,55,5,81,1.3732833958,9.0909090909,1.4727272727
20,2022-05-31,FACEBOOK AD,2983,38,12,141,1.2738853503,31.5789473684,3.7105263158,ADWORD AD,4023,67,4,136,1.6654238131,5.9701492537,2.0298507463
21,2023-10-10,FACEBOOK AD,2780,49,13,197,1.7625899281,26.5306122449,4.0204081633,ADWORD AD,5184,59,6,176,1.138117284,10.1694915254,2.9830508475
22,2024-06-04,FACEBOOK AD,2138,62,11,73,2.8999064546,17.7419354839,1.1774193548,ADWORD AD,5621,43,4,77,0.7649884362,9.3023255814,1.7906976744
23,2024-02-28,FACEBOOK AD,2307,27,18,88,1.1703511053,66.6666666667,3.2592592593,ADWORD AD,3858,80,8,137,2.0736132711,10,1.7125
24,2022-04-03,FACEBOOK AD,2981,69,13,122,2.3146595102,18.8405797101,1.768115942,ADWORD AD,4554,42,7,72,0.9222661397,16.6666666667,1.7142857143
25,2023-07-25,FACEBOOK AD,1069,70,17,203,6.5481758653,24.2857142857,2.9,ADWORD AD,5355,81,7,188,1.512605042,8.6419753086,2.3209876543
26,2024-06-06,FACEBOOK AD,1830,52,8,73,2.8415300546,15.3846153846,1.4038461538,ADWORD AD,5730,44,3,146,0.7678883072,6.8181818182,3.3181818182
27,2023-07-24,FACEBOOK AD,2972,30,9,64,1.0094212651,30,2.1333333333,ADWORD AD,4079,76,4,78,1.8632017651,5.2631578947,1.0263157895
28,2024-02-29,FACEBOOK AD,2121,49,7,81,2.3102310231,14.2857142857,1.6530612245,ADWORD AD,4740,35,8,118,0.7383966245,22.8571428571,3.3714285714
29,2023-09-11,FACEBOOK AD,1566,42,11,82,2.6819923372,26.1904761905,1.9523809524,ADWORD AD,3892,52,6,140,1.3360739979,11.5384615385,2.6923076923
30,2022-11-15,FACEBOOK AD,2850,49,14,229,1.7192982456,28.5714285714,4.6734693878,ADWORD AD,5217,42,8,99,0.8050603795,19.0476190476,2.3571428571
31,2024-04-02,FACEBOOK AD,2450,65,19,214,2.6530612245,29.2307692308,3.2923076923,ADWORD AD,5727,53,5,172,0.925440894,9.4339622642,3.2452830189
32,2023-01-21,FACEBOOK AD,2308,43,9,168,1.863084922,20.9302325581,3.9069767442,ADWORD AD,5200,88,8,174,1.6923076923,9.0909090909,1.9772727273
33,2022-05-12,FACEBOOK AD,2156,46,7,137,2.133580705,15.2173913043,2.9782608696,ADWORD AD,3752,48,8,56,1.2793176972,16.6666666667,1.1666666667
34,2024-10-02,FACEBOOK AD,1064,31,13,98,2.9135338346,41.935483871,3.1612903226,ADWORD AD,3942,33,8,113,0.8371385084,24.2424242424,3.4242424242
35,2022-10-28,FACEBOOK AD,1064,64,15,135,6.015037594,23.4375,2.109375,ADWORD AD,4485,82,8,184,1.8283166109,9.756097561,2.243902439
36,2023-08-23,FACEBOOK AD,1862,61,6,249,3.276047261,9.8360655738,4.0819672131,ADWORD AD,4008,48,9,127,1.1976047904,18.75,2.6458333333
37,2023-11-25,FACEBOOK AD,2076,15,10,221,0.7225433526,66.6666666667,14.7333333333,ADWORD AD,4741,61,9,198,1.2866483864,14.7540983607,3.2459016393
38,2023-01-15,FACEBOOK AD,2204,53,6,125,2.4047186933,11.320754717,2.358490566,ADWORD AD,5501,74,6,155,1.3452099618,8.1081081081,2.0945945946
39,2023-04-11,FACEBOOK AD,2683,59,8,162,2.1990309355,13.5593220339,2.7457627119,ADWORD AD,4739,74,5,106,1.5615108673,6.7567567568,1.4324324324
40,2024-09-01,FACEBOOK AD,1523,62,18,189,4.0709126724,29.0322580645,3.0483870968,ADWORD AD,5223,74,3,57,1.4168102623,4.0540540541,0.7702702703
